Age,Income,Student,Credit_rating,Buys_Computer
Young,High,No,Fair,No
Young,High,No,Excellent,No
Middle_Aged,High,No,Fair,Yes
Old,Medium,No,Fair,Yes
Old,Low,Yes,Fair,Yes
Old,Low,Yes,Excellent,No
Middle_Aged,Low,Yes,Excellent,Yes
Young,Medium,No,Fair,No
Young,Low,Yes,Fair,Yes
Old,Medium,Yes,Fair,Yes
Young,Medium,Yes,Excellent,Yes
Middle_Aged,Medium,No,Excellent,Yes
Middle_Aged,High,Yes,Fair,Yes
Old,Medium,No,Excellent,No
Young,Medium,No,Excellent,No
Young,Low,No,Fair,No
Young,Low,No,Excellent,No
Middle_Aged,Low,Yes,Fair,Yes
Old,Medium,Yes,Excellent,Yes
Middle_Aged,High,No,Excellent,Yes
